meitei embedding:
[vocab size 6000/12909][46.5%]
step(k)	average loss
0	215.065
2	31.9680
4	3.22897
6	2.07672
8	1.66741
10	1.43242
12	1.28176
14	1.18656
16	1.15092
18	1.10466
20	1.08191

network embedding:
[vocab size 6000/3177577][0.19%]
step(k)	average loss
0	209.607
2	30.1525
4	10.8508
6	5.88170
8	5.83707
10	9.05391
12	8.19396
14	4.04069
16	6.76124
18	3.92802
20	3.10355
